118,5,"[447, 239, 486, 339]",45,"[0, 0]"
119,5,"[447, 239, 486, 339]",45,"[0, 0]"
120,5,"[447, 239, 486, 339]",45,"[0, 0]"
121,5,"[447, 239, 486, 339]",45,"[0, 0]"
122,5,"[447, 239, 486, 339]",45,"[0, 0]"
123,5,"[447, 239, 486, 339]",45,"[0, 0]"
124,5,"[447, 239, 486, 339]",45,"[0, 0]"
125,5,"[447, 239, 486, 339]",45,"[0, 0]"
126,5,"[447, 239, 486, 339]",45,"[0, 0]"
127,5,"[447, 239, 486, 339]",45,"[0, 0]"
128,5,"[447, 239, 486, 339]",45,"[0, 0]"
129,5,"[447, 239, 486, 339]",45,"[0, 0]"
130,5,"[447, 239, 486, 339]",45,"[0, 0]"
131,5,"[447, 239, 486, 339]",45,"[0, 0]"
132,5,"[447, 239, 486, 339]",45,"[0, 0]"
133,5,"[447, 239, 486, 339]",45,"[0, 0]"
134,5,"[447, 239, 486, 339]",45,"[0, 0]"
135,5,"[447, 239, 486, 339]",45,"[0, 0]"
136,5,"[447, 239, 486, 339]",45,"[0, 0]"
137,5,"[447, 239, 486, 339]",45,"[0, 0]"
138,5,"[447, 239, 486, 339]",45,"[0, 0]"
139,5,"[447, 239, 486, 339]",45,"[0, 0]"
140,5,"[447, 239, 486, 339]",45,"[0, 0]"
141,5,"[447, 239, 486, 339]",45,"[0, 0]"
142,5,"[447, 239, 486, 339]",45,"[0, 0]"
143,5,"[447, 239, 486, 339]",45,"[0, 0]"
144,5,"[447, 239, 486, 339]",45,"[0, 0]"
145,5,"[447, 239, 486, 339]",45,"[0, 0]"
146,5,"[447, 239, 486, 339]",45,"[0, 0]"
147,5,"[447, 239, 486, 339]",45,"[0, 0]"
148,5,"[447, 239, 486, 339]",45,"[0, 0]"
149,5,"[447, 239, 486, 339]",45,"[0, 0]"
150,5,"[447, 239, 486, 339]",45,"[0, 0]"
151,5,"[447, 239, 486, 339]",45,"[0, 0]"
152,5,"[447, 239, 486, 339]",45,"[0, 0]"
153,5,"[447, 239, 486, 339]",45,"[0, 0]"
154,5,"[447, 239, 486, 339]",45,"[0, 0]"
155,5,"[447, 239, 486, 339]",45,"[0, 0]"
156,5,"[447, 239, 486, 339]",45,"[0, 0]"
157,5,"[447, 239, 486, 339]",45,"[0, 0]"
158,5,"[447, 239, 486, 339]",45,"[0, 0]"
159,5,"[447, 239, 486, 339]",45,"[0, 0]"
160,5,"[447, 239, 486, 339]",45,"[0, 0]"
161,5,"[447, 239, 486, 339]",45,"[0, 0]"
162,5,"[447, 239, 486, 339]",45,"[0, 0]"
163,5,"[447, 239, 486, 339]",45,"[0, 0]"
164,5,"[447, 239, 486, 339]",45,"[0, 0]"
165,5,"[447, 239, 486, 339]",45,"[0, 0]"
166,5,"[447, 239, 486, 339]",45,"[0, 0]"
167,5,"[447, 239, 486, 339]",45,"[0, 0]"
168,5,"[447, 239, 486, 339]",45,"[0, 0]"
169,5,"[447, 239, 486, 339]",45,"[0, 0]"
170,5,"[447, 239, 486, 339]",45,"[0, 0]"
171,5,"[447, 239, 486, 339]",45,"[0, 0]"
172,5,"[447, 239, 486, 339]",45,"[0, 0]"
173,5,"[447, 239, 486, 339]",45,"[0, 0]"
174,5,"[447, 239, 486, 339]",45,"[0, 0]"
175,5,"[447, 239, 486, 339]",45,"[0, 0]"
176,5,"[447, 239, 486, 339]",45,"[0, 0]"
177,5,"[447, 239, 486, 339]",45,"[0, 0]"
178,5,"[447, 239, 486, 339]",45,"[0, 0]"
179,5,"[447, 239, 486, 339]",45,"[0, 0]"
